Word_1	Part_1	Word_2	Part_2
along	"preposition	 adverb"	вдоль	"предлог	 наречие"
development	noun	разработка	существительное
themselves	pronoun	сами себя	местоимение
report	"noun	 verb"	отчет	"существительное	 глагол"
role	noun	роль	существительное
better	"adjective	 adverb	 verb"	лучше	"прилагательное	 наречие	 глагол"
economic	adjective	экономический	прилагательное
effort	noun	усилие	существительное
decide	verb	решать	глагол
rate	"noun	 verb"	ставка	"существительное	 глагол"
strong	adjective	сильный	прилагательное
possible	adjective	возможный	прилагательное
heart	noun	сердце	существительное
drug	noun	лекарство	существительное
leader	noun	лидер	существительное
light	"noun	 adjective	 verb"	свет	"существительное	 прилагательное	 глагол"
voice	"noun	 verb"	голос	"существительное	 глагол"
wife	noun	жена	существительное
whole	"adjective	 noun"	весь	"прилагательное	 существительное"
police	"noun	 verb"	полиция	"существительное	 глагол"
mind	"noun	 verb"	разум	"существительное	 глагол"
finally	adverb	окончательно	наречие
pull	"verb	 noun"	тянуть	"глагол	 существительное"
return	"verb	 noun"	возвращаться	"глагол	 существительное"
free	"adjective	 adverb	 verb"	бесплатно	"прилагательное	 наречие	 глагол"
military	"adjective	 noun"	военный	"прилагательное	 существительное"
price	"noun	 verb"	цена	"существительное	 глагол"
less	"adjective	 adverb	 preposition"	меньше	"прилагательное	 наречие	 предлог"
according	preposition (used in 'according to')	согласно	предлог (используется в слове «согласно»)
decision	noun	решение	существительное
explain	verb	объяснять	глагол
son	noun	сын	существительное
hope	"noun	 verb"	надеяться	"существительное	 глагол"
develop	verb	развивать	глагол
view	"noun	 verb"	вид	"существительное	 глагол"
relationship	noun	отношение	существительное
carry	verb	нести	глагол
town	noun	город	существительное
road	noun	дорога	существительное
drive	"verb	 noun"	водить машину	"глагол	 существительное"
arm	verb	рука	глагол
TRUE	"adjective	 adverb"	истинный	"прилагательное	 наречие"
federal	adjective	федеральный	прилагательное
break	"verb	 noun"	перерыв	"глагол	 существительное"
difference	noun	разница	существительное
thank	verb	благодарить	глагол
receive	verb	получать	глагол
value	"noun	 verb"	ценить	"существительное	 глагол"
international	adjective	международный	прилагательное
building	noun	здание	существительное
action	noun	действие	существительное
full	adjective	полный	прилагательное
model	"noun	 verb"	модель	"существительное	 глагол"
join	verb	присоединиться	глагол
season	"noun	 verb"	сезон	"существительное	 глагол"
society	noun	общество	существительное
tax	"noun	 verb"	налог	"существительное	 глагол"
director	noun	директор	существительное
position	"noun	 verb"	позиция	"существительное	 глагол"
player	noun	игрок	существительное
agree	verb	соглашаться	глагол
especially	adverb	особенно	наречие
record	"noun	 verb"	записывать	"существительное	 глагол"
pick	"verb	 noun"	выбирать	"глагол	 существительное"
wear	"verb	 noun"	носить	"глагол	 существительное"
paper	noun	бумага	существительное
special	"adjective	 noun"	особенный	"прилагательное	 существительное"
space	"noun	 verb"	космос	"существительное	 глагол"
ground	"noun	 verb"	земля	"существительное	 глагол"
form	"noun	 verb"	форма	"существительное	 глагол"
support	"noun	 verb"	поддерживать	"существительное	 глагол"
event	noun	событие	существительное
official	"adjective	 noun"	чиновник	"прилагательное	 существительное"
whose	pronoun	чей	местоимение
matter	"noun	 verb"	иметь значение	"существительное	 глагол"
everyone	pronoun	каждый	местоимение
center	"noun	 verb"	центр	"существительное	 глагол"
couple	"noun	 verb"	пара	"существительное	 глагол"
site	"noun	 verb"	сайт	"существительное	 глагол"
project	"noun	 verb"	проект	"существительное	 глагол"
hit	"verb	 noun"	ударять	"глагол	 существительное"
base	"noun	 verb"	база	"существительное	 глагол"
activity	noun	активность	существительное
star	"noun	 verb"	звезда	"существительное	 глагол"
table	"noun	 verb"	стол	"существительное	 глагол"
court	"noun	 verb"	суд	"существительное	 глагол"
produce	"verb	 noun"	производить	"глагол	 существительное"
eat	verb	есть	глагол
teach	verb	учить	глагол
oil	"noun	 verb"	масло	"существительное	 глагол"
half	"noun	 adjective	 adverb"	половина	"существительное	 прилагательное	 наречие"
situation	noun	ситуация	существительное
easy	"adjective	 adverb"	легкий	"прилагательное	 наречие"
cost	"noun	 verb"	расходы	"существительное	 глагол"
industry	noun	промышленность	существительное
figure	"noun	 verb"	фигура	"существительное	 глагол"
street	noun	улица	существительное
image	noun	изображение	существительное
itself	pronoun	сам по себе	местоимение
phone	"noun	 verb"	телефон	"существительное	 глагол"
either	"adverb	 pronoun	 determiner"	или	"наречие	 местоимение	 определитель"
data	noun	данные	существительное
cover	"verb	 noun"	крышка	"глагол	 существительное"
quite	adverb	довольно	наречие
picture	"noun	 verb"	картина	"существительное	 глагол"
clear	"adjective	 adverb	 verb"	прозрачный	"прилагательное	 наречие	 глагол"
practice	"noun	 verb"	упражняться	"существительное	 глагол"
piece	"noun	 verb"	кусок	"существительное	 глагол"
land	"noun	 verb"	земля	"существительное	 глагол"
recent	adjective	недавний	прилагательное
describe	verb	описывать	глагол
product	noun	продукт	существительное
doctor	"noun	 verb"	врач	"существительное	 глагол"
wall	"noun	 verb"	стена	"существительное	 глагол"
patient	"noun	 adjective"	пациент	"существительное	 прилагательное"
worker	noun	рабочий	существительное
news	noun	новости	существительное
test	"noun	 verb"	тест	"существительное	 глагол"
movie	noun	фильм	существительное
certain	"adjective	 pronoun"	определенный	"прилагательное	 местоимение"
north	"noun	 adjective	 adverb"	север	"существительное	 прилагательное	 наречие"
personal	adjective	личный	прилагательное
simply	adverb	просто	наречие
third	"number	 noun	 adjective"	третий	"число	 существительное	 прилагательное"
technology	noun	технология	существительное
catch	"verb	 noun"	ловить	"глагол	 существительное"
step	"noun	 verb"	шаг	"существительное	 глагол"
baby	"noun	 adjective"	малыш	"существительное	 прилагательное"
computer	noun	компьютер	существительное
type	"noun	 verb"	тип	"существительное	 глагол"
attention	noun	внимание	существительное
draw	"verb	 noun"	рисовать	"глагол	 существительное"
film	"noun	 verb"	фильм	"существительное	 глагол"
republican	"adjective	 noun"	республиканец	"прилагательное	 существительное"
tree	noun	дерево	существительное
source	"noun	 verb"	источник	"существительное	 глагол"
red	"adjective	 noun"	красный	"прилагательное	 существительное"
nearly	adverb	около	наречие
organization	noun	организация	существительное
choose	verb	выбирать	глагол
cause	"noun	 verb"	причина	"существительное	 глагол"
hair	noun	волосы	существительное
century	noun	век	существительное
evidence	noun	доказательство	существительное
window	noun	окно	существительное
difficult	adjective	трудный	прилагательное
listen	verb	слушать	глагол
soon	adverb	скоро	наречие
culture	noun	культура	существительное
billion	"number	 noun"	миллиард	"число	 существительное"
chance	"noun	 verb"	шанс	"существительное	 глагол"
brother	noun	брат	существительное
energy	noun	энергия	существительное
period	noun	период	существительное
summer	noun	лето	существительное
realize	verb	понимать	глагол
hundred	"number	 noun"	сто	"число	 существительное"
available	adjective	доступный	прилагательное
plant	"noun	 verb"	растение	"существительное	 глагол"
likely	"adjective	 adverb"	вероятный	"прилагательное	 наречие"
opportunity	noun	возможность	существительное
term	"noun	 verb"	срок	"существительное	 глагол"
short	"adjective	 adverb	 noun"	короткий	"прилагательное	 наречие	 существительное"
letter	noun	письмо	существительное
condition	"noun	 verb"	состояние	"существительное	 глагол"
choice	noun	выбор	существительное
single	"adjective	 noun	 verb"	одинокий	"прилагательное	 существительное	 глагол"
rule	"noun	 verb"	правило	"существительное	 глагол"
daughter	noun	дочь	существительное
administration	noun	администрация	существительное
south	"noun	 adjective	 adverb"	юг	"существительное	 прилагательное	 наречие"
husband	noun	муж	существительное
congress	noun	конгресс	существительное
floor	"noun	 verb"	пол	"существительное	 глагол"
campaign	"noun	 verb"	кампания	"существительное	 глагол"
material	"noun	 adjective"	материал	"существительное	 прилагательное"
population	noun	население	существительное
economy	noun	экономика	существительное
medical	"adjective	 noun"	медицинский	"прилагательное	 существительное"
hospital	noun	больница	существительное
church	noun	церковь	существительное
close	"adjective	 adverb	 verb"	закрывать	"прилагательное	 наречие	 глагол"
thousand	"number	 noun"	тысяча	"число	 существительное"
risk	"noun	 verb"	риск	"существительное	 глагол"
current	"adjective	 noun"	текущий	"прилагательное	 существительное"
fire	"noun	 verb"	огонь	"существительное	 глагол"
future	"noun	 adjective"	будущее	"существительное	 прилагательное"
wrong	"adjective	 adverb	 noun"	неправильный	"прилагательное	 наречие	 существительное"
involve	verb	вовлекать	глагол
defense	noun	защита	существительное
anyone	pronoun	любой	местоимение
increase	"verb	 noun"	увеличивать	"глагол	 существительное"
security	noun	безопасность	существительное
bank	"noun	 verb"	банк	"существительное	 глагол"
myself	pronoun	сам	местоимение
certainly	adverb	конечно	наречие
west	"noun	 adjective	 adverb"	запад	"существительное	 прилагательное	 наречие"
sport	"noun	 verb"	спорт	"существительное	 глагол"
board	"noun	 verb"	доска	"существительное	 глагол"
seek	verb	искать	глагол
per	preposition	за	предлог
subject	"noun	 adjective	 verb"	предмет	"существительное	 прилагательное	 глагол"
officer	noun	офицер	существительное
private	"adjective	 noun"	частный	"прилагательное	 существительное"
rest	"noun	 verb"	отдых	"существительное	 глагол"
behavior	noun	поведение	существительное
deal	"noun	 verb"	иметь дело	"существительное	 глагол"
performance	noun	производительность	существительное
fight	"verb	 noun"	драться	"глагол	 существительное"
throw	"verb	 noun"	бросать	"глагол	 существительное"
top	verb	вершина	глагол
quickly	adverb	быстро	наречие
past	"adjective	 noun	 preposition	 adverb"	прошлое	"прилагательное	 существительное	 предлог	 наречие"
goal	noun	цель	существительное
bed	"noun	 verb"	кровать	"существительное	 глагол"
order	"noun	 verb"	заказ	"существительное	 глагол"
author	"noun	 verb"	автор	"существительное	 глагол"
fill	"verb	 noun"	наполнять	"глагол	 существительное"
represent	verb	представлять	глагол
focus	"noun	 verb"	сосредоточиться	"существительное	 глагол"
foreign	adjective	иностранный	прилагательное
drop	"verb	 noun"	уронить	"глагол	 существительное"
blood	noun	кровь	существительное
upon	preposition	на	предлог
agency	noun	агентство	существительное
push	"verb	 noun"	толкать	"глагол	 существительное"
nature	noun	природа	существительное
color	"noun	 verb"	цвет	"существительное	 глагол"
recently	adverb	недавно	наречие
store	"noun	 verb"	магазин	"существительное	 глагол"
reduce	verb	уменьшать	глагол
sound	adjective	звук	прилагательное
note	"noun	 verb"	примечание	"существительное	 глагол"
fine	noun verb	отлично	существительное глагол
near	"preposition	 adverb	 adjective	 verb"	около	"предлог	 наречие	 прилагательное	 глагол"
movement	noun	движение	существительное
page	"noun	 verb"	страница	"существительное	 глагол"
enter	verb	входить	глагол
share	"verb	 noun"	делиться	"глагол	 существительное"
common	"adjective	 noun"	общий	"прилагательное	 существительное"
poor	"adjective	 noun"	бедный	"прилагательное	 существительное"
natural	"adjective	 noun"	естественный	"прилагательное	 существительное"
