Weight	Word_1	Part_1	Word_2	Part_2	Text_constants_front	Text_constants_back
100	Was bedeutet „verweilen“ (im Kontext von Hausfriedensbruch)?	Begriffe	Sich unerlaubt an einem Ort aufhalten	Begriffe	40,9,1	40,18,2
100	Was ist eine Störung?	Begriffe	Eine Unterbrechung oder ein Ärgernis	Begriffe	40,7,1	40,17,2
100	Was ist eine Androhung?	Begriffe	Das Inaussichtstellen eines Übels	Begriffe	40,9,1	40,16,2
100	Was bedeutet „vorsätzlich“?	Begriffe	Mit voller Absicht	Begriffe	40,11,1	40,18,1
100	Was ist Missbrauch?	Begriffe	Der unsachgemäße Gebrauch von etwas	Begriffe	40,10,1	40,17,2
100	Was sind „Stoffe“ (im relevanten Kontext)?	Begriffe	Materialien oder Substanzen	Begriffe	40,7,1	40,13,2
100	Was ist ein Überfall?	Begriffe	Ein plötzlicher Angriff oft mit Gewalt	Begriffe	40,8,1	40,18,2
100	Was ist eine Behandlung?	Begriffe	Die Art und Weise wie etwas gehandhabt wird	Begriffe	40,10,1	40,21,2
100	Was ist Nachstellung?	Begriffe	Das unbefugte Verfolgen einer Person (Stalking)	Begriffe	40,12,1	40,23,2
100	Was ist eine Bedrohung?	Begriffe	Die Ankündigung eines künftigen Übels	Begriffe	40,9,1	40,18,2
100	Wer ist ein Opfer?	Begriffe	Eine Person die durch eine Straftat geschädigt wurde	Begriffe	40,5,1	40,25,2
100	Was ist Zueignungsabsicht?	Begriffe	Die Absicht eine Sache dauerhaft für sich zu behalten	Begriffe	40,17,1	40,17,3
100	Was bedeutet „besonders“ (im juristischen Kontext)?	Begriffe	In einem hohen oder außergewöhnlichen Maße	Begriffe	40,9,1	40,20,2
100	Was ist ein Behältnis?	Begriffe	Ein Gefäß oder Behälter	Begriffe	40,9,1	40,23,1
100	Was ist ein Unglücksfall?	Begriffe	Ein unvorhergesehenes schädliches Ereignis	Begriffe	40,12,1	40,20,2
100	Was ist Hilflosigkeit (im rechtlichen Sinne)?	Begriffe	Ein Zustand der Unfähigkeit sich selbst zu helfen	Begriffe	40,13,1	40,15,3
100	Was ist Unterschlagung?	Begriffe	Das unrechtmäßige Aneignen einer fremden Sache die man bereits besitzt	Begriffe	40,14,1	40,16,4
100	Was bedeutet „geringwertig“?	Begriffe	Von geringem Wert	Begriffe	40,12,1	40,17,1
100	Was ist eine Anwendung?	Begriffe	Die Benutzung oder der Gebrauch	Begriffe	40,9,1	40,15,2
100	Was ist eine Drohung?	Begriffe	Die Ankündigung eines zukünftigen Übels	Begriffe	40,7,1	40,19,2
100	Was bedeutet „räuberisch“?	Begriffe	In Verbindung mit Raub	Begriffe	40,10,1	40,22,1
100	Was bedeutet „erhalten“?	Begriffe	Bekommen oder empfangen	Begriffe	40,8,1	40,11,2
100	Was ist Erpressung?	Begriffe	Das Nötigen einer Person zur Herausgabe von Vermögen	Begriffe	40,10,1	40,16,3
100	Was bedeutet „zwingen“?	Begriffe	Jemanden mit Gewalt oder Drohung zu etwas bringen	Begriffe	40,7,1	40,24,2
100	Definieren Sie das Wort „Vorteile“	Begriffe	Positive Aspekte oder Gewinne	Begriffe	40,8,1	40,14,2
100	Was ist Strafvereitelung?	Begriffe	Die Verhinderung der Bestrafung einer anderen Person	Begriffe	40,16,1	40,16,3
100	Was bedeutet „herstellen“?	Begriffe	Produzieren oder anfertigen	Begriffe	40,10,1	40,13,2
100	Was bedeutet „beschädigen“?	Begriffe	Eine Sache in ihrer Substanz verändern	Begriffe	40,11,1	40,18,2
100	Was bedeutet „zerstören“?	Begriffe	Eine Sache vollständig unbrauchbar machen	Begriffe	40,9,1	40,20,2
100	Was bedeutet „fremd“ (im rechtlichen Sinne)?	Begriffe	Einer anderen Person gehörend	Begriffe	40,5,1	40,14,2
100	Was ist ein Unterlassungsdelikt?	Begriffe	Eine Straftat die durch Nichthandeln begangen wird	Begriffe	40,19,1	40,16,3
100	Was ist eine Garantenpflicht?	Begriffe	Die rechtliche Pflicht eine Gefahr abzuwenden	Begriffe	40,15,1	40,22,2
100	Was sind Rechtfertigungsgründe?	Begriffe	Gründe die ein Handeln ausnahmsweise nicht rechtswidrig machen	Begriffe	40,21,1	40,20,3
150	Was bedeutet „rechtfertigend“?	Begriffe	Das Vorliegen eines Rechtfertigungsgrundes	Begriffe	40,14,1	40,20,2
100	Was ist der Gegenstand der Verjährung?	Begriffe	Die Tat oder der Anspruch auf den sich die Verjährung bezieht	Begriffe	40,12,2	40,19,3
100	Was ist Verjährung?	Begriffe	Das Ende der strafrechtlichen Verfolgung einer Tat nach einer Frist	Begriffe	40,10,1	40,16,4
100	Was ist Gefahrenabwendung?	Begriffe	Das aktive Abwenden einer drohenden Gefahr	Begriffe	40,17,1	40,20,2
125	Was ist Hausfriedensbruch?	§ 123 StGB	Das unbefugte Eindringen in eine Wohnung ein Geschäftsgebäude oder ein umfriedetes Besitztum oder das Verweilen darin gegen den Willen des Berechtigten	§ 123 StGB	40,17,1	40,20,7
100	Was ist Amtsanmaßung?	§ 132 StGB	Die Täuschung über die Befugnis ein öffentliches Amt auszuüben	§ 132 StGB	40,12,1	40,20,3
100	Was ist Körperverletzung?	§ 223 StGB	Die vorsätzliche körperliche Misshandlung oder die vorsätzliche Schädigung der Gesundheit einer anderen Person	§ 223 StGB	40,16,1	40,17,6
100	Was ist gefährliche Körperverletzung?	§ 224 StGB	Körperverletzung die durch den Einsatz gefährlicher Werkzeuge Gift oder einen hinterlistigen Überfall begangen wird	§ 224 StGB	40,13,2	40,18,6
100	Was ist schwere Körperverletzung?	§ 226 StGB	Körperverletzung die zu einer dauerhaften schwerwiegenden Folge führt z.B. Verlust eines Sinnesorgans oder dauerhafte Entstellung	§ 226 StGB	40,24,1	40,20,6
100	Was ist fahrlässige Körperverletzung?	§ 229 StGB	Die unvorsätzliche (fahrlässige) Verursachung einer Körperverletzung oder Gesundheitsschädigung	§ 229 StGB	40,13,2	40,18,5
100	Was ist Freiheitsberaubung?	§ 239 StGB	Das Einsperren oder das Entziehen der Bewegungsfreiheit einer Person auf andere Weise	§ 239 StGB	40,18,1	40,20,4
100	Was ist Diebstahl?	§ 242 StGB	Die Wegnahme einer fremden beweglichen Sache mit der Absicht sie sich rechtswidrig anzueignen	§ 242 StGB	40,9,1	40,17,5
100	Was ist ein besonders schwerer Diebstahl?	§ 243 StGB	Diebstahl der unter besonders schwerwiegenden Umständen z.B. Einbruchdiebstahl gewerbsmäßiger Diebstahl begangen wird	§ 243 StGB	40,13,2	40,15,7
100	Was ist Unterschlagung?	§ 246 StGB	Die Zueignung einer fremden beweglichen Sache die sich bereits im eigenen Besitz befindet ohne sie wegzunehmen	§ 246 StGB	40,14,1	40,21,5
125	Was ist Raub?	§ 249 StGB	Die Wegnahme einer fremden Sache unter Anwendung von Gewalt gegen eine Person oder durch die Drohung mit einer gegenwärtigen Gefahr für Leib oder Leben	§ 249 StGB	40,4,1	40,20,7
125	Was ist räuberischer Diebstahl?	§ 252 StGB	Die Anwendung von Gewalt oder die Drohung mit einer Gefahr für Leib oder Leben um nach einem Diebstahl die Beute zu behalten	§ 252 StGB	40,22,1	40,19,6
125	Was ist Erpressung?	§ 253 StGB	Die Nötigung einer Person zu einer Handlung Duldung oder Unterlassung durch die Drohung mit einem Übel um einen Vermögensvorteil zu erlangen	§ 253 StGB	40,10,1	40,16,8
100	Was ist Hehlerei?	§ 259 StGB	Das Verschaffen Absetzen oder Ankaufen einer Sache die aus einer Straftat stammt wobei die Herkunft bekannt ist	§ 259 StGB	40,8,1	40,21,5
100	Was ist Betrug?	§ 263 StGB	Die Täuschung über Tatsachen die zu einer Vermögensschädigung führt	§ 263 StGB	40,6,1	40,16,4
100	Was ist Erschleichen von Leistungen?	§ 265a StGB	Das Erschleichen von Leistungen z.B. Transport oder Zugang zu Veranstaltungen durch Täuschung	§ 265a StGB	40,13,2	40,17,5
100	Was ist Urkundenfälschung?	§ 267 StGB	Die Herstellung einer unechten oder die Verfälschung einer echten Urkunde mit der Absicht diese zu gebrauchen	§ 267 StGB	40,17,1	40,21,5
100	Was ist Sachbeschädigung?	§ 303 StGB	Das Beschädigen oder Zerstören einer fremden Sache	§ 303 StGB	40,16,1	40,16,3
100	Was ist ein Überfall?	Begriffe	Ein allgemeiner Begriff für Raub oder räuberische Erpressung	Begriffe	40,8,1	40,19,3
100	Was ist Legitimation?	Begriffe	Die Berechtigung einer Person etwas zu tun	Begriffe	40,12,1	40,20,2
100	Was ist die Leinenpflicht?	Begriffe	Die gesetzliche Verpflichtung einen Hund an der Leine zu führen	Begriffe	40,13,1	40,20,3
100	Was ist ein Lichtbild?	Begriffe	Ein Foto einer Person das oft für Ausweise verwendet wird	Begriffe	40,9,1	40,18,3
100	Was ist ein Lichtbildausweis?	Begriffe	Ein Ausweis der ein Foto der Person enthält	Begriffe	40,16,1	40,21,2
100	Was ist ein Löschmittel?	Begriffe	Ein Stoff der zur Brandbekämpfung eingesetzt wird	Begriffe	40,11,1	40,15,3
100	Was sind Löschmitteleinheiten?	Begriffe	Ein Maß zur Berechnung der benötigten Feuerlöscher in einem Gebäude	Begriffe	40,20,1	40,16,4
100	Was ist ein Magnetkontakt?	Begriffe	Ein Melder der reagiert wenn ein Stromkreis unterbrochen wird z.B. durch das Öffnen eines Fensters	Begriffe	40,13,1	40,18,5
100	Was ist ein Magnetstreifen?	Begriffe	Eine technische Vorrichtung zum Speichern von Daten auf einer Karte oder einem Ausweis	Begriffe	40,14,1	40,16,5
150	Was ist Meinungsfreiheit?	Begriffe	Das Recht seine Meinung frei zu äußern solange es nicht gegen Gesetze verstößt	Begriffe	40,16,1	40,18,4
100	Was ist eine Meinungsverschiedenheit?	Begriffe	Ein Konflikt zwischen Personen aufgrund unterschiedlicher Meinungen	Begriffe	40,23,1	40,16,4
100	Was macht ein Meister für Schutz und Sicherheit?	Begriffe	Ein zertifizierter Meister in der Sicherheitsbranche	Begriffe	40,16,2	40,25,2
100	Was ist eine Meldelinie?	Begriffe	Die Verbindung zwischen einem Melder und einer Zentrale	Begriffe	40,10,1	40,17,3
200	Was ist der Grundsatz bei einem Brand?	Begriffe	Melden; Retten; Bekämpfen	Begriffe	40,25,1	40,7,3
100	Was ist ein Melder?	Begriffe	Ein Sensor der bei Brand Einbruch oder Überfall auslöst	Begriffe	40,6,1	40,17,3
100	Was ist eine Meldung?	Begriffe	Information über ein Ereignis an einen Vorgesetzten oder Kollegen	Begriffe	40,7,1	40,15,4
100	Definieren Sie „Menge“.	Begriffe	Eine größere Anzahl von Personen die zufällig an einem Ort sind	Begriffe	40,5,1	40,20,3
100	Was ist ein Motivationsschreiben?	Begriffe	Ein Schreiben zur Begründung des eigenen Interesses an einer Position oder Ausbildung	Begriffe	40,20,1	40,20,4
150	Was sind Menschenrechte?	Begriffe	Die grundlegenden Rechte die jedem Menschen zustehen	Begriffe	40,14,1	40,16,3
100	Was ist die Menschenwürde?	Begriffe	Die unantastbare Ehre jedes Menschen	Begriffe	40,13,1	40,17,2
100	Was sind Metallbrände?	Begriffe	Die Brände von Metallen	Begriffe	40,12,1	40,23,1
100	Was ist eine Mikrowellenrichtstrecke?	Begriffe	Ein Einbruchmelder der auf Bewegungen in einem bestimmten Bereich reagiert	Begriffe	40,23,1	40,17,4
100	Was ist das Militär?	Begriffe	Die bewaffneten Streitkräfte eines Landes	Begriffe	40,7,1	40,20,2
100	Was ist Mimik?	Begriffe	Die Zeichen die mit dem Gesicht gegeben werden	Begriffe	40,5,1	40,22,2
100	Was macht einen Staat aus?	Begriffe	1)Sttatsgebiet - geografische Teil der Erdfläche;2)Staatsfolk;3)Staatsgewalt - die Regierungsform	Begriffe	40,23,1	40,15,6
100	Wie ist der Staat horizontal aufgebaut?	Begriffe	Legislative (gesetzschreibende) Gewalt; Exekutive (ausführende) Gewalt; Judikative (rechtssprechende) Gewalt	Begriffe	40,15,2	40,14,7
100	Wie ist der Staat vertikal (grob) aufgebaut?	Begriffe	1)Bund; 2)Land; 3)Kommunen	Begriffe	40,17,2	40,7,3
100	Was sind die Entscheidungsbereiche des Staates?	Begriffe	Bund:; Außenpolitik; Verteidigung; Geldwesen; Zoll; Bundeswehr; Teil des Steuerrechtes; Land:;Bildung; Kultur; Polizei; Verkehr; Umweltschutz; Teil des Steuerrechtes	Begriffe	40,4,7	28,10,14
100	Was ist das Gewaltmonopol des Staates?	Begriff	Gegenseitiges Packt: die Bürger verzichten auf Gewalt und der Staat (die Obrigkeit) im Gegenzung schützt die Bürger vor Gewalt	Begriff	40,12,2	40,20,6
100	Was sind die Pro- und Kontra-Argumente der Demokratie?	Begriffe	Pro:;Schutzt vor Machtmissbrauch; Aufgaben sind Bürgernähe; regionale Vielfalt & Wettbewerb;Kontra:;Uneinheitlichkeit; komplexe Gesetzgebung; unübersichtliche Zuständigkeit; teuere Staatwerwaltung	Begriffe	40,13,2	37,16,11
625	Was sind die Staatsstrukturprinzipien der BRD?	Begriffe	Fundamentale Baugesetze der BRD welche in § 20 und § 28 GG verankert. Sie dienen der Sicherung der freiheitlichen demokratischen Grundordnung:;1) Republikprinzip - befristete Hochheitliches Staatsgewählt & Volkssouveränität; 2) Rechtsstaatsprinzip - Rechtsbindung an Gesetz & Gewaltenteilung & Grundrechtsschutz; 3) Bundesstaatsprinzip - Föderalismus (Bund & 16 Länder) mit Eigenständigkeit der Länder; 4) Sozialstaatsprinzip - Pflicht zur sozialen Gerechtigkeit & Sicherheit mit Ausgleich sozialer Unterschiede;5) Demokratieprinzip - Volkssouveränität mit repräsentative/parlamentarische Demokratie und Wahlen	Begriffe	40,15,2	22,39,15
475	Was sind die Elemente des Sozialstaates?	Begriff	Sozialstaat beinhaltet:;Kranken- & Pflege- & Renten- & Arbeitslosichkeit-Versicherung; Widerstandrecht des Volkes; Mehrheits-/Minderheits-Prinzip; Wahlrecht; Parteinsystem; Gewaltenteilung; Vorrang der Gesetze vor Vorschrifften; Bestimmheitsgebot der Normen; Pflicht zur Begründung der Urteilen/Entscheidungen; Rückwirkungsverbot der Gesetzen; Verhältnismäßigkeitsgrundsatz; Rechtsschutzgarantie durch rechtliches Gehör GG§ 103 & Unschuldprinzip StGB § 1	Begriff	40,12,2	24,26,16
625	Was sind die Verfassungsprinzipien der BRD?	Begriffe	Grundlegende & teils unveränderliche (GG§ 79) Pfeiler der Verfassung. Sie definieren die Staatsstruktur und das Handeln der Staatsgewalt:;1) Demokratie - Volkssouveränität: repräsentativ & freie Wahlen & Mehrheitsprinzip mit Minderheitenschutz (GG§ 20); 2) Bundesstaat - Föderalismus (Bund und Länder): vertikale Gewaltenteilung & Länder wirken über Bundesrat mit (GG§ 20); 3) Rechtsstaat - Bindung der Staatsgewalt an Gesetz & Recht: Gewaltenteilung & Grundrechtsschutz & Rechtssicherheit (GG§ 20);4) Sozialstaat - Ausgleich sozialer Unterschiede: soziale Sicherheit mit menschenwürdiges Existenzminimum (GG§ 20);5) Widerstandsrecht - Recht aller Deutschen gegen jeden vorzugehen welcher versucht die freiheitliche demokratische Grundordnung zu beseitigen wenn keine andere Abhilfe möglich ist (GG§ 20)	Begriffe	40,14,2	19,41,19
375	Wie entstehen Gesetze in der BRD?	Begriffe	1) Gesetz-Eingabe von Person oder Partei;2) Bundestag: prüft es und gibt weiter; 3) Bundesrat prüft: ja -> gibt weiter oder nein -> gibt zurück nach BT; 4) Bundespräsident prüft: ja -> gibt weiter oder nein -> gibt zurück nach BT (3 Vetorecht); Nach 3 Vetos -> Bundesanzeige: 14-tagige Veröffentlichung und dann Gesetz wird gültig	Begriffe	40,14,2	31,26,12
100	Was sind die Rechtsfunktionen des Staates?	Begriffe	Staat-Funktionen:;1) Ordnung;2) Frieden;3) Rechstsicherheit;4) Erziehung;5) Ausgleich;6) Herrschafft;7) Herrschafftskontrolle	Begriffe	40,13,2	40,14,8
100	Was ist Verhältnismäßigkeit?	Begriffe	Verhältnissmäßigkeit bedeutet: mit geringfügigen Mittel eine situation unter Kontrolle zu kriegen:;1)legemimer Zweck;2)Erforderlichkeit;3)Geeignichkeit & angemessenheit	Begriffe	40,20,1	40,17,9
100	Was ist der Unterschied zwischen Strafanzeige und Strafantrag?	Begriffe	Strafanzeige ist Mitteilung eines Sachverhaltens:;1) Wissenserklärung (meldet Straftat);2) ermöglicht die Kenntniserlangung;3) Antragsberechtigung: Jeder; 4) Rücknahme unmöglich (Offizialdelikt);5) gegen Unbekannten: Ja;6) Frist: keine;7) Form: jede Form ist möglich. Strafantrag ist nur mit Willen des Verletzten/Betreuers möglich:;1) Willenserklärung (will die Strafverfolgung);2) ermöglicht die Strafverfolgung;3) Antragsberechtigung: Opfer/gesetzlicher Vertreter;4) Rücknahme möglich (Antragsdelikt);5) gegen Unbekannten: Ja;6) Frist: 3 Monate ab Kenntniserlangung von Tat und Täter;7) Form: schriftlich oder zu Protokoll bei Gericht/Staatsanwaltschaft.	Begriffe	40,13,2	20,35,18
100	Welches Jedermannsrecht ist in der StPO aufgeführt?	Strafprozessordnung & Starfgesezbuch	Das Recht der vorläufigen Festnahme - § 127 Abs.1 StPO	Strafprozessordnung & Starfgesezbuch	40,25,2	40,17,3
100	Welche Regelungen sind noch in der StPO enthalten die für jedermann von grundsätzlicher Bedeutung sind?	Strafprozessordnung & Starfgesezbuch	Die Rechte und Pflichten des Beschuldigten und des Zeugen.	Strafprozessordnung & Starfgesezbuch	40,19,5	40,18,3
100	Aus welchen beiden Teilen besteht das Strafgesetzbuch (StGB)?	Strafprozessordnung & Starfgesezbuch	Allgemeiner Teil und Besonderer Teil.	Strafprozessordnung & Starfgesezbuch	40,19,3	40,18,2
100	Welche Regelungen sind enthalten: (a) im allgemeinen Teil des Strafgesetzbuchs und (b) im besonderen Teil des Strafgesetzbuchs?	Strafprozessordnung & Starfgesezbuch	a. Der allgemeine Teil enthält allgemeine Regelungen die für alle Tatbestände des besonderen Teils gelten.;b. Der besondere Teil enthält die Straftatbestände.	Strafprozessordnung & Starfgesezbuch	40,20,6	40,18,8
100	Sind alle Straftatbestände im Strafgesetzbuch enthalten?	Strafprozessordnung & Starfgesezbuch	Nein. Auch Nebengesetze enthalten Straftatbestände wie z.B. das Waffengesetz Beteubungsmittelgesetz	Strafprozessordnung & Starfgesezbuch	40,18,3	40,24,4
100	Aus welchen 4 Elementen besteht eine verfolgbare Straftat?	Strafprozessordnung & Starfgesezbuch	Tatbestandsmäßigkeit;Rechtswidrigkeit;Schuld;Verfahrensvoraussetzungen	Strafprozessordnung & Starfgesezbuch	40,18,3	38,16,4
100	Aus welchen beiden Elementen besteht die Tatbestandsmäßigkeit?	Strafprozessordnung & Starfgesezbuch	Objektiver und subjektiver Tatbestand	Strafprozessordnung & Starfgesezbuch	40,20,3	40,18,2
100	Was setzen die meisten Straftatbestände im subjektiven Tatbestand voraus?	Strafprozessordnung & Starfgesezbuch	Vorsatz (Wissen und Wollen)	Strafprozessordnung & Starfgesezbuch	40,17,4	40,13,2
100	In welchen 4 Hauptbereichen ist auch die fahrlässige Begehung eines Straftatbestandes strafbar?	Strafprozessordnung & Starfgesezbuch	Leben;Körper;Umwelt;Brand	Strafprozessordnung & Starfgesezbuch	40,18,5	40,5,4
100	In welchem Rechtsgebiet / Gesetz sprechen wir von: (a) Rechtswidrigkeit und (b) Widerrechtlichkeit?	Strafprozessordnung & Starfgesezbuch	a. Strafrecht/StGB;b. Zivilrecht/BGB	Strafprozessordnung & Starfgesezbuch	40,24,4	40,17,2
100	In welchen Gesetzen finden wir Rechtfertigungsgründe / Jedermannsrechte?	Strafprozessordnung & Starfgesezbuch	StGB;StPO;BGB	Strafprozessordnung & Starfgesezbuch	40,17,4	40,3,3
100	Welches Jedermannsrecht finden wir inhaltsgleich in 2 Gesetzen? Welche Rechtsfolgen treten ein?	Strafprozessordnung & Starfgesezbuch	§ 32 StGB (Notwehr): es entfällt die Rechtswidrigkeit es kann keine Bestrafung erfolgen;§ 227 BGB (Notwehr): es entfällt die Widerrechtlichkeit es muss z.B. kein Schadensersatz gezahlt werden.	Strafprozessordnung & Starfgesezbuch	40,23,4	40,20,9
100	Ab welchem Alter ist ein Kind schuldfähig?	Strafprozessordnung & Starfgesezbuch	Laut §19 StGB ab 14 Jahre	Strafprozessordnung & Starfgesezbuch	40,20,2	40,25,1
100	Aus welchem Grund kann ein Erwachsener schuldunfähig sein?	Strafprozessordnung & Starfgesezbuch	Laut §20 StGB ist krankhafte seelische Störung	Strafprozessordnung & Starfgesezbuch	40,18,3	40,14,3
100	Welcher Verfahrensvoraussetzung bedarf es bei einem absoluten Antragsdelikt?	Strafprozessordnung & Starfgesezbuch	Strafantrag	Strafprozessordnung & Starfgesezbuch	40,18,4	40,11,1
100	Nennen Sie Verfahrenshindernisse!	Strafprozessordnung & Starfgesezbuch	Rücknahme des Strafantrags bei absolutem Antragsdelikt;Tod des Beschuldigten;Dauerhafte Verhandlungsunfähigkeit des Angeklagten;Verjährung	Strafprozessordnung & Starfgesezbuch	40,16,2	40,16,8
100	"Warum gilt der Grundsatz: ""Keine Strafe ohne Gesetz""?"	Strafprozessordnung & Starfgesezbuch	Es schützt den Bürger vor willkürlicher Bestrafung. Der Bürger kann erkennen was verboten ist.	Strafprozessordnung & Starfgesezbuch	40,17,3	40,22,4
100	Was unterscheidet Verbrechen und Vergehen?	Strafprozessordnung & Starfgesezbuch	Verbrechen werden im Mindestmaß mit einer Strafe von einem Jahr bedroht. Vergehen liegt die mindest Freiheitsstrafen unter einem Jahr oder Geldstrafe.	Strafprozessordnung & Starfgesezbuch	40,13,3	40,20,7
100	Weshalb muss zwischen Verbrechen und Vergehen unterschieden werden?	Strafprozessordnung & Starfgesezbuch	Verbrechen sind immer Offizialdelikte. Bei Verbrechen ist immer der Versuch strafbar.	Strafprozessordnung & Starfgesezbuch	40,21,3	40,20,4
100	Nennen Sie die für das Sicherheitsgewerbe relevanten Verbreche	Strafprozessordnung & Starfgesezbuch	Meineid § 154 StGB;Schwere Körperverletzung § 226 StGB;Raub § 249 StGB;Räuberischer Diebstahl § 252 StGB;Räuberische Erpressung § 255 StGB;Brandstiftung § 306 StGB	Strafprozessordnung & Starfgesezbuch	40,20,3	40,17,9
100	Was ist eine Handlung im Rechtssinne?	Strafprozessordnung & Starfgesezbuch	Eine Handlung ist ein vom Willen getragenes menschliches Verhalten.	Strafprozessordnung & Starfgesezbuch	40,18,2	40,21,3
100	Kann eine Straftat auch durch Unterlassen begangen werden?	Strafprozessordnung & Starfgesezbuch	Ja wenn eine Rechtspflicht zum Handeln besteht.;Es gibt echte und unechte Unterlassungsdelikte	Strafprozessordnung & Starfgesezbuch	40,18,3	40,22,4
100	Nennen Sie ein echtes Unterlassungsdelikt!	Strafprozessordnung & Starfgesezbuch	323 c StGB:§ 323c Unterlassene Hilfeleistung oder Behinderung von hilfeleistenden Personen	Strafprozessordnung & Starfgesezbuch	40,20,2	40,21,4
100	Woraus können sich Pflichten zum Tätigwerden (Garantenpflichten) ergeben?	Strafprozessordnung & Starfgesezbuch	Vertrag;Gesetz;enger natürlicher Verbundenheit.;Schaffung von Gefahren (Ingerenz)	Strafprozessordnung & Starfgesezbuch	40,17,4	40,12,6
100	Ist bei jedem Straftatbestand der Versuch strafbar?	Strafprozessordnung & Starfgesezbuch	Bei einem Verbrechen ist der Versuch stets strafbar bei einem Vergehen nur bei einer gesonderten Regelung.	Strafprozessordnung & Starfgesezbuch	40,16,3	40,20,5
